Metric,Metric,Code,OTM,MissDAG,Mean Imputer,SK Imputer,RR Imputer,Iterative Imputer
0,F1,Linear-ER1,0.9655,0.9885,0.6047,0.5865,0.7156,0.9318
1,gscore,Linear-ER1,0.9318,0.9773,0.0,0.0,0.2955,0.8636
2,shd,Linear-ER1,2,1,50,54,29,6
3,F1,Linear-ER2,0.8085,0.9767,0.4823,0.493,0.6496,0.8936
4,gscore,Linear-ER2,0.5909,0.9545,0.0,0.0,0.0682,0.7727
5,shd,Linear-ER2,16,2,72,70,40,9
6,F1,Linear-ER3,0.5641,0.9655,0.4459,0.4476,0.544,0.713
7,gscore,Linear-ER3,0.0,0.9318,0.0,0.0,0.0,0.25
8,shd,Linear-ER3,49,3,82,78,56,33
9,F1,Linear-ER4,0.9885,0.9425,0.592,0.608,0.7069,0.9318
10,gscore,Linear-ER4,0.9773,0.8864,0.0,0.0,0.2273,0.8636
11,shd,Linear-ER4,1,5,48,47,33,6
12,F1,Linear-ER5,0.885,0.972,0.7458,0.7642,0.8276,0.9009
13,gscore,Linear-ER5,0.7593,0.9444,0.4444,0.463,0.6296,0.7963
14,shd,Linear-ER5,10,2,28,28,19,8
15,F1,Linear-ER6,0.6239,0.898,0.5714,0.5981,0.7273,0.9691
16,gscore,Linear-ER6,0.1458,0.7917,0.0625,0.1042,0.375,0.9375
17,shd,Linear-ER6,33,8,41,39,29,3
18,F1,Linear-ER7,0.9375,0.9474,0.781,0.781,0.8485,0.9474
19,gscore,Linear-ER7,0.8776,0.898,0.5306,0.5306,0.6939,0.898
20,shd,Linear-ER7,5,4,20,20,12,4
21,F1,Linear-ER8,0.8908,0.9725,0.6719,0.6457,0.7778,0.9123
22,gscore,Linear-ER8,0.7679,0.9464,0.25,0.1964,0.5,0.8214
23,shd,Linear-ER8,12,3,40,43,25,9
24,F1,Linear-ER9,0.7091,0.9126,0.7184,0.729,0.75,0.9074
25,gscore,Linear-ER9,0.3846,0.8269,0.4423,0.4423,0.4231,0.8077
26,shd,Linear-ER9,31,9,29,28,29,9
27,F1,Linear-SF1,0.9592,0.9592,0.8103,0.8496,0.8807,0.9495
28,gscore,Linear-SF1,0.9184,0.9184,0.551,0.6531,0.7347,0.898
29,shd,Linear-SF1,2,2,20,16,12,3
30,F1,Linear-SF2,0.9184,0.9592,0.7541,0.7759,0.7966,0.8103
31,gscore,Linear-SF2,0.8367,0.9184,0.3878,0.4694,0.5102,0.551
32,shd,Linear-SF2,6,2,28,24,23,20
33,F1,Linear-SF3,0.5657,0.9263,0.6299,0.6202,0.6281,0.7087
34,gscore,Linear-SF3,0.1224,0.8571,0.0408,0.0,0.0816,0.2449
35,shd,Linear-SF3,41,7,47,49,45,37
36,F1,Linear-SF4,1.0,0.9057,0.807,0.807,0.8972,1.0
37,gscore,Linear-SF4,1.0,0.7959,0.551,0.551,0.7755,1.0
38,shd,Linear-SF4,0,9,21,21,11,0
39,F1,Linear-SF5,0.8952,0.9505,0.6457,0.6457,0.6331,0.8704
40,gscore,Linear-SF5,0.7755,0.898,0.0816,0.0816,0.0,0.7143
41,shd,Linear-SF5,9,4,44,44,50,12
42,F1,Linear-SF6,0.7091,0.9278,0.6545,0.6667,0.7434,0.8393
43,gscore,Linear-SF6,0.3469,0.8571,0.2245,0.2653,0.4082,0.6327
44,shd,Linear-SF6,27,5,36,34,27,16
45,F1,Linear-SF7,0.9307,0.9307,0.7619,0.768,0.8496,0.9307
46,gscore,Linear-SF7,0.8571,0.8571,0.3878,0.4082,0.6531,0.8571
47,shd,Linear-SF7,5,5,29,28,16,5
48,F1,Linear-SF8,0.92,0.9184,0.5972,0.6241,0.6519,0.8571
49,gscore,Linear-SF8,0.8367,0.8367,0.0,0.0,0.0408,0.6939
50,shd,Linear-SF8,5,5,55,50,45,12
51,F1,Linear-SF9,0.8,0.9684,0.7222,0.7568,0.7818,0.6609
52,gscore,Linear-SF9,0.6122,0.9388,0.3878,0.449,0.5102,0.2041
53,shd,Linear-SF9,19,3,30,27,24,36
